SeniorCitizen,tenure,MonthlyCharges,TotalCharges,gender_Male,Partner_Yes,Dependents_Yes,PhoneService_Yes,MultipleLines_No phone service,MultipleLines_Yes,InternetService_Fiber optic,InternetService_No,OnlineSecurity_No internet service,OnlineSecurity_Yes,OnlineBackup_No internet service,OnlineBackup_Yes,DeviceProtection_No internet service,DeviceProtection_Yes,TechSupport_No internet service,TechSupport_Yes,StreamingTV_No internet service,StreamingTV_Yes,StreamingMovies_No internet service,StreamingMovies_Yes,Contract_One year,Contract_Two year,PaperlessBilling_Yes,PaymentMethod_Credit card (automatic),PaymentMethod_Electronic check,PaymentMethod_Mailed check,Churn
0,-1.2413308272103278,0.19316450620639225,-0.946350640120854,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,1
0,-0.7110781194995532,0.6473551391691115,-0.43534589159229437,False,False,False,True,False,True,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True,True,False,False,0
0,1.4099327113435454,0.8203801422025286,1.7945469843289024,True,True,True,True,False,True,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,0
0,-1.1189648177386107,0.023466907077463767,-0.8587460565269909,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,True,False,False,False,0
0,-0.26240275143659014,-1.4838470616559571,-0.783389402918515,True,False,False,True,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,False,True,False,True,False,0
0,-1.1597534875625164,-0.01646193977640131,-0.8969631163377675,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,True,False,False,True,0
0,-0.38476876090830736,-1.5071388889873785,-0.8205949640231375,True,True,True,True,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,False,True,False,False,0
1,-1.2413308272103278,0.32626066238594376,-0.9354880235808518,True,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False,1
0,0.7573139941610534,-1.5237759085098224,-0.5650156279007809,True,False,False,True,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,True,False,False,False,True,False,0
0,-0.1400367419648729,0.505940473228338,-0.035518044331448465,True,True,True,True,False,True,False,False,False,False,False,True,False,True,False,False,False,True,False,True,False,False,False,True,False,False,0
0,-1.1597534875625164,0.6906113899274662,-0.8591858385731449,True,False,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,True,False,1
0,-1.0373874780907992,0.7288765348290869,-0.7354091816831212,True,False,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,True,False,1
0,-0.8742327987951762,-1.4905018694649346,-0.9108822180985394,False,False,True,True,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,True,False,False,1
0,0.6349479846893362,-1.3424323957151836,-0.47875237954768735,False,False,False,True,False,True,False,True,True,False,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,False,0
0,-1.2821194970342338,-0.3525297341297692,-0.9843478089085534,True,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,0
0,1.613876060463074,0.825371248059262,1.7796823511688995,True,True,True,True,False,True,False,False,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,False,0
0,1.5730873906391682,0.421091673663874,1.4432710749634505,False,True,True,True,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,True,False,True,False,True,False,False,0
1,1.4915100509913568,1.3477736610640019,2.0697845779143393,False,True,False,True,False,True,True,False,False,False,False,True,False,False,False,True,False,True,False,True,False,True,False,True,False,False,0
